0 10,556 254,2743 214,4358 214,2741 185,1510 184,1826 184,1913 184,2735 184,372 182,2742 181,2754 178,446 169,2746 162,1059 140,327 136,5330 136,882 133,1775 131,354 127,2303 125
1 0,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL
2 0,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL
3 0,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL
4 0,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL
5 0,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL
6 10,4358 1514,175 255,170 187,60 185,3434 179,5333 177,5332 175,5331 170,1861 167,4667 160,1119 159,4973 157,2756 153,1561 149,4271 149,1150 142,870 137,2111 136,5777 136,4976 130
7 0,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL
8 10,1510 1500,838 189,6512 183,7 180,6326 180,6511 176,6451 141,5292 118,637 111,1775 106,635 99,2986 99,841 98,606 96,4636 96,5514 86,193 85,454 85,3063 85,2843 78
9 10,2859 750,2860 750,1359 198,4489 179,964 176,3402 137,5932 133,3150 129,5244 129,1615 124,4866 124,2006 120,2204 120,345 111,4450 106,259 100,5325 90,5561 90,4389 89,4284 87
10 10,3979 217,637 211,1060 210,5328 205,2032 202,2986 194,1061 186,3003 184,2772 171,659 155,2033 143,3553 136,3554 130,839 128,3549 126,3551 126,1357 120,174 117,3552 116,5356 111
11 10,938 337,4038 337,6092 337,2786 329,1608 235,2749 202,2757 187,1051 172,2806 172,934 170,2348 159,2761 155,2747 152,3685 145,314 144,499 144,5335 143,2807 139,1725 135,645 134
12 10,4208 200,766 194,637 192,1391 187,1571 187,2335 183,2725 175,1006 174,43 165,78 158,2351 158,635 155,452 154,1411 147,1886 143,1054 138,2151 138,624 135,1732 135,2950 133
13 0,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL,NULL NULL
